country,code,electricity_consumption,country_flag,series_id
Kuwait,KU,59.278,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/KU-flag.gif,INTL.2-2-KWT-BKWH.A
Greece,GR,53.635,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/GR-flag.gif,NTL.2-2-GRC-BKWH.A
Algeria,AG,62.062,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/AG-flag.gif,INTL.2-2-DZA-BKWH.A
Israel,IS,56.391,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/IS-flag.gif,INTL.2-2-ISR-BKWH.A
Bangladesh,BG,70.594,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BG-flag.gif,INTL.2-2-BGD-BKWH.A
Romania,RO,55.008,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/RO-flag.gif,INTL.2-2-ROU-BKWH.A
Uzbekistan,UZ,49.204,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/UZ-flag.gif,INTL.2-2-UZB-BKWH.A
Singapore,SN,47.583,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SN-flag.gif,INTL.2-2-SGP-BKWH.A
Portugal,PO,48.035,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/PO-flag.gif,INTL.2-2-PRT-BKWH.A
Peru,PE,47.409,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/PE-flag.gif,INTL.2-2-PER-BKWH.A
Hong Kong,HK,44.73,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/HK-flag.gif,INTL.2-2-HKG-BKWH.A
New Zealand,NZ,41.165,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NZ-flag.gif,INTL.2-2-NZL-BKWH.A
Hungary,HU,41.621,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/HU-flag.gif,INTL.2-2-HUN-BKWH.A
Iraq,IZ,43.971,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/IZ-flag.gif,INTL.2-2-IRQ-BKWH.A
Qatar,QA,43.375,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/QA-flag.gif,INTL.2-2-QAT-BKWH.A
